匹配类型,用户分层,用户数,平均差异,平均美团订单量,平均小蚕美团订单量,差异率
订单部分由其他用户下单,高潜力用户,5654,5.44,7.56,2.13,71.8
订单部分由其他用户下单,中潜力用户,3149,2.47,6.29,3.81,45.02
订单部分由其他用户下单,低潜力用户,2537,1.0,4.11,3.11,31.52
订单部分由其他用户下单,无差异用户,1496,0.0,4.67,4.67,0.0
订单部分由其他用户下单,负差异用户,3696,-4.61,5.45,10.06,-105.86
用户自己下单,高潜力用户,41468,4.42,6.33,1.91,69.98
用户自己下单,中潜力用户,39794,2.17,5.03,2.86,48.23
用户自己下单,低潜力用户,62913,1.0,3.47,2.47,34.74
用户自己下单,无差异用户,144156,0.0,2.22,2.22,0.0
用户自己下单,负差异用户,170736,-2.92,2.98,5.9,-144.79
用户美团数据可能异常,高潜力用户,31771,4.28,4.46,0.18,96.74
用户美团数据可能异常,中潜力用户,20358,2.0,2.19,0.19,94.73
用户美团数据可能异常,低潜力用户,36753,1.0,1.17,0.17,93.14
用户美团数据可能异常,无差异用户,7378,0.0,1.42,1.42,0.0
用户美团数据可能异常,负差异用户,9666,-3.28,1.51,4.78,-268.45
订单完全由其他有关系用户下单,高潜力用户,4255,4.68,4.93,0.25,95.86
订单完全由其他有关系用户下单,中潜力用户,1614,2.02,2.43,0.42,90.56
订单完全由其他有关系用户下单,低潜力用户,1705,1.0,1.46,0.46,85.71
订单完全由其他有关系用户下单,无差异用户,446,0.0,2.0,2.0,0.0
订单完全由其他有关系用户下单,负差异用户,1216,-5.73,2.31,8.04,-362.79
